run,epoch,train_acc,test_acc,test_entropy_bits,collapse_bits,embedding_jump
reflexive,0,0.5,0.5,14.72544002532959,0.0,0.0
reflexive,20000,0.8055555555555556,0.8055555555555556,6.800896644592285,8.060491561889648,0.0
reflexive,40000,0.9722222222222222,0.9722222222222222,6.779860019683838,8.11111831665039,0.0
reflexive,60000,0.9652777777777778,0.9652777777777778,6.414793014526367,8.493053436279297,0.0
reflexive,80000,0.9861111111111112,0.9861111111111112,5.866860866546631,9.024639129638672,0.0
reflexive,100000,0.9722222222222222,0.9722222222222222,7.274405479431152,7.684544086456299,0.0
reflexive,120000,0.9861111111111112,0.9861111111111112,7.605806827545166,7.400062561035156,0.0
reflexive,140000,0.9861111111111112,0.9861111111111112,6.549452781677246,8.421048164367676,0.0
reflexive,160000,0.9722222222222222,0.9722222222222222,7.092584133148193,7.925496578216553,0.0
reflexive,180000,0.9722222222222222,0.9722222222222222,7.163418292999268,7.839335918426514,0.0
reflexive,200000,0.9652777777777778,0.9652777777777778,7.940837383270264,7.060369491577148,0.0
reflexive,300000,0.9722222222222222,0.9722222222222222,6.663636207580566,8.3525390625,0.0
reflexive,400000,0.9236111111111112,0.9236111111111112,7.112497806549072,7.867064476013184,0.0
reflexive,500000,0.9652777777777778,0.9652777777777778,7.239176273345947,7.777852535247803,0.0
reflexive,600000,0.9305555555555556,0.9305555555555556,6.359195232391357,8.604877471923828,0.0
reflexive,700000,0.9444444444444444,0.9444444444444444,6.759056091308594,8.323223114013672,0.0
reflexive,800000,0.9513888888888888,0.9513888888888888,6.741713523864746,8.288156509399414,0.0
reflexive,900000,0.9444444444444444,0.9444444444444444,6.30426549911499,8.769253730773926,0.0
reflexive,1000000,0.9305555555555556,0.9305555555555556,6.414700984954834,8.566635131835938,0.0
reflexive,1100000,0.9305555555555556,0.9305555555555556,7.052434921264648,7.987693786621094,0.0
reflexive,1200000,0.9513888888888888,0.9513888888888888,6.010788440704346,9.00218677520752,0.0
reflexive,1300000,0.9930555555555556,0.9930555555555556,6.326815128326416,8.693190574645996,0.0
reflexive,1400000,0.9305555555555556,0.9305555555555556,6.48668098449707,8.540486335754395,0.0
reflexive,1500000,0.9861111111111112,0.9861111111111112,6.298053741455078,8.774038314819336,0.0
reflexive,1600000,0.9305555555555556,0.9305555555555556,6.009127616882324,8.985294342041016,0.0
reflexive,1700000,0.9444444444444444,0.9444444444444444,6.655585765838623,8.355335235595703,0.0
reflexive,1800000,0.9583333333333334,0.9583333333333334,5.868653774261475,9.12436294555664,0.0
reflexive,1900000,0.9652777777777778,0.9652777777777778,5.779348373413086,9.233440399169922,0.0
reflexive,2000000,0.9652777777777778,0.9652777777777778,5.88029670715332,9.125298500061035,0.0
