regime,final_collapse_kl,max_collapse_burst,max_q_representation_jump,burst_jump_correlation,peak_alignment,final_p_sacrifice_rescue,final_p_team_direct,final_p_selfish_escape,learned_representation_bridge_score,natural_trigger_rate,trigger_choice_tension,trigger_specificity_js_bits,potential_effective_modes,ptc_endogenous_emergence_score,ptc_gated_representation_bridge_score
pure_team,8.81628611109037,5.878321443328327,0.9978274949492908,0.8979458196867772,1.0,0.986,0.014,0.0,5.26694678537468,0.982,0.07070400000000006,0.9735164911595844,1.0943383373837385,0.07532496020310546,0.396732557000222
dense_shaping,5.3581468352555985,5.380821783882261,1.0495164230103247,0.918866963192054,1.0,0.003,0.997,0.0,5.189081410571919,0.004,0.015936,0.9999999999985575,1.0345650305673963,0.016486828327098243,0.08555149439143603
uncertain_preference,4.7392918771728185,4.76280847827783,1.3513022341444492,0.12434829603508822,0.5,0.001,0.653,0.346,0.400152427275247,0.007,0.027804,0.19330241484855948,1.944725529924289,0.010452083604590474,0.004182426624460692
random_noise,7.380821783701925,3.5891370662894504,0.9484634642353073,0.09919569888062496,0.3333333333333333,1.0,0.0,0.0,0.11255952117625498,1.0,0.0,0.9999999999985575,0.9999999999989999,0.0,0.0
