system,prespecified,h0_bits,natural_trigger_rate,passive_trigger_rate,aggressive_trigger_rate,selectivity_tension,specificity_js,usefulness_gap,iv_gap_passive,iv_gap_aggressive,natural_score,natural_win_rate
marl_learned,0,1.5041625260016591,0.5,0.0,1.0,1.0,1.0,14.932166666666667,-20.36066666666667,22.406999999999996,26.091000000000005,0.875
marl_untrained,0,0.6873150928309273,1.0,1.0,1.0,0.0,1.0,-2.2119999999999997,-21.128,20.72533333333333,8.579333333333334,0.18333333333333332
nearest_only,1,0.9603622703154779,1.0,1.0,1.0,0.0,1.0,2.5951666666666675,-19.38,25.363999999999997,14.040500000000002,0.38333333333333336
role_oracle,1,0.999799616411146,0.0,0.0,0.0,0.0,1.0,2.3086666666666673,-22.08033333333334,22.89466666666667,14.066166666666668,0.5083333333333333
damage_aware,1,1.430432360983443,0.5,0.0,1.0,1.0,1.0,3.1813333333333365,-22.40166666666667,21.977999999999998,13.870333333333338,0.43333333333333335
