seed,regime,mode,n_episodes,trigger_rate,initial_future_entropy,final_future_entropy,mean_collapse_at_trigger,mean_collapse_elsewhere,collapse_localization_rate,counterfactual_js,counterfactual_return_gap,factual_p_rescue,cf_p_rescue,intervention_js,intervention_return_gap,do_trigger_p_rescue,do_non_trigger_p_rescue
1013.0,pure_team,rescue,24.0,1.0,0.038150430894375975,-1.4428232973175177e-12,0.0,0.11712632317380882,0.0,0.9999999999982268,10.902777777777779,1.0,0.0,0.9707352215380438,10.675925925925926,0.9907407407407408,0.0
1013.0,pure_team,bridge,24.0,0.0,0.068670775611031,0.022890258536048456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03915190324106537,-2.763888888888889,0.0,0.0
2027.0,pure_team,rescue,24.0,1.0,0.068670775611031,-1.4428232973175177e-12,0.008128396899460993,0.20179667774843577,0.0,0.9999999999982268,10.921296296296298,1.0,0.0,0.9733226925469108,10.797453703703704,0.9918981481481483,0.0
2027.0,pure_team,bridge,24.0,0.0,0.06829044253817072,0.015260172356884696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023917656969189422,-2.4189814814814814,0.0,0.0
3041.0,pure_team,rescue,24.0,1.0,0.0762531471278254,-1.4428232973175177e-12,0.006773664082884161,0.18933144162449075,0.0,0.9999999999976256,10.662037037037036,1.0,0.0,0.9999999999981065,10.86574074074074,1.0,0.0
3041.0,pure_team,bridge,24.0,0.0,0.079158174352741,0.022890258536048456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009354014134802052,-2.0069444444444446,0.0,0.0
4057.0,pure_team,rescue,24.0,1.0,0.07389061765070132,-1.4428232973175177e-12,0.010160496124326242,0.309314099818211,0.0,0.9999999999971748,8.49074074074074,1.0,0.0,0.9999999999971148,8.537037037037036,1.0,0.0
4057.0,pure_team,bridge,24.0,0.0,0.0586304452923738,0.038150430894375975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01800932092821062,-2.3101851851851856,0.0,0.0
5077.0,pure_team,rescue,24.0,1.0,0.038150430894375975,-1.4428232973175177e-12,0.002390704970429704,0.21636538493212135,0.0,0.9999999999978962,9.967592592592593,1.0,0.0,0.9999999999977159,9.86574074074074,1.0,0.0
5077.0,pure_team,bridge,24.0,0.0,0.066211413037649,0.04341798759641566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017465318281295245,-2.118055555555556,0.0,0.0
1013.0,uncertain_preference,rescue,24.0,0.6666666666666666,1.4078091900209249,0.9297673847962572,1.0148619725387609,0.540051553408983,0.4375,0.6760015578196065,4.168402777777778,0.6753472222222222,0.0,0.7273154881225184,3.2893518518518516,0.6504629629629629,0.0
1013.0,uncertain_preference,bridge,24.0,0.0,1.0234866211335467,0.8790632683416698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5460944639693351,-7.743055555555556,0.0,0.0
2027.0,uncertain_preference,rescue,24.0,0.3333333333333333,1.7444063367288891,1.1438557537991167,0.3168159977559345,0.14982367461917873,0.125,0.46896398325191885,5.326388888888889,0.6180555555555556,0.0,0.4972548666553607,0.07986111111111112,0.3483796296296296,0.0
2027.0,uncertain_preference,bridge,24.0,0.0,1.015460476841931,0.9183740444263728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38736376340932566,-5.777777777777778,0.0,0.0
3041.0,uncertain_preference,rescue,24.0,0.6666666666666666,1.309872617411808,1.006625651487854,0.4704801322698066,0.6712180600231894,0.125,0.5446090104348176,5.914930555555555,0.6857638888888888,0.0,0.46539942854424177,3.2685185185185186,0.5277777777777778,0.0
3041.0,uncertain_preference,bridge,24.0,0.0,0.725940923918321,0.7509782476541026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254484527881283,-6.395833333333333,0.0,0.0
4057.0,uncertain_preference,rescue,24.0,0.6666666666666666,1.6045026158823479,0.9326470330109685,0.8479963204334526,0.7971810351246043,0.4375,0.6527916712629046,2.0434027777777777,0.5295138888888888,0.0,0.38575740598468283,-3.3182870370370368,0.09375,0.0
4057.0,uncertain_preference,bridge,24.0,0.0,0.831113479856146,0.8145697014649019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41746511368732603,-7.381944444444444,0.0,0.0
5077.0,uncertain_preference,rescue,24.0,0.3333333333333333,1.8142848913564362,1.138931034414698,5.194662082285252,0.3569812602506647,0.625,0.619152390934459,-0.5937499999999999,0.3368055555555555,0.0,0.5997416717851655,-0.42476851851851843,0.3483796296296296,0.0
5077.0,uncertain_preference,bridge,24.0,0.0,0.9884920435795473,0.8527969604653176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5080392415919059,-7.701388888888889,0.0,0.0
