regime,checkpoint,collapse_kl,collapse_burst,q_representation_jump,p_sacrifice_rescue,p_team_direct,p_selfish_escape,p_failed_noise
pure_team,0.0,0.0,0.0,0.0,0.005555555555555556,0.01888888888888889,0.022222222222222223,0.9533333333333334
pure_team,5000.0,5.609085722983041,5.609085722983041,1.6723042557138228,0.5,0.5,0.0,0.0
pure_team,15000.0,5.609085722983041,0.0,0.34060925917859025,0.5,0.5,0.0,0.0
pure_team,30000.0,5.609085722983041,0.0,0.28325808368666583,0.5,0.5,0.0,0.0
pure_team,60000.0,5.609085722983041,0.0,0.27040916226549555,0.5,0.5,0.0,0.0
dense_shaping,0.0,0.0,0.0,0.0,0.006666666666666667,0.023333333333333334,0.022222222222222223,0.9477777777777778
dense_shaping,5000.0,5.42146376837789,5.42146376837789,1.5400104598321964,0.0,1.0,0.0,0.0
dense_shaping,15000.0,5.42146376837789,0.0,0.1588395740059768,0.0,1.0,0.0,0.0
dense_shaping,30000.0,5.42146376837789,0.0,0.3370230752752797,0.0,1.0,0.0,0.0
dense_shaping,60000.0,5.266313889707616,0.0,0.20290302590258388,0.46555555555555556,0.5344444444444445,0.0,0.0
uncertain_preference,0.0,0.0,0.0,0.0,0.005555555555555556,0.02,0.017777777777777778,0.9566666666666667
uncertain_preference,5000.0,5.415882500363864,5.415882500363864,1.1377990315144781,0.0,0.9822222222222222,0.0,0.017777777777777778
uncertain_preference,15000.0,5.237079775974729,0.0,1.2581535299834234,0.16666666666666666,0.8288888888888889,0.0,0.0044444444444444444
uncertain_preference,30000.0,4.730864598263502,0.0,1.0745680033965328,0.3333333333333333,0.3377777777777778,0.3288888888888889,0.0
uncertain_preference,60000.0,4.731015998884109,0.0001514006206067009,0.8656517294783673,0.3333333333333333,0.33666666666666667,0.33,0.0
random_noise,0.0,0.0,0.0,0.0,0.008888888888888889,0.017777777777777778,0.023333333333333334,0.95
random_noise,5000.0,5.313781191098196,5.313781191098196,1.5657845453441643,0.5,0.5,0.0,0.0
random_noise,15000.0,5.198373580350523,0.0,0.6423026700880843,0.5,0.4911111111111111,0.0,0.008888888888888889
random_noise,30000.0,5.313781191098196,0.11540761074767225,0.7225908740500208,0.5,0.5,0.0,0.0
random_noise,60000.0,5.061009230429086,0.0,0.8221205499700585,0.48333333333333334,0.49666666666666665,0.0,0.02
