best_uci,collapse_best_bits,collapse_deep_alt_bits,collapse_greedy_bits,collapse_key_bits,collapse_random_bits,deep_alt_uci,greedy_uci,key_uci,kind,local_cost_best,local_cost_deep_alt,local_cost_greedy,local_cost_key,local_cost_random,p_win_base,p_win_best,p_win_deep_alt,p_win_greedy,p_win_key,p_win_random,potential_bits,puzzle_id,random_uci,rating,specificity_js_bits,themes,useful_shift_best,useful_shift_deep_alt,useful_shift_greedy,useful_shift_key,useful_shift_random
,,0.03839411849280472,0.3663019299826986,0.17845555850231754,1.0242468619819074,a5a4,a5a4,a5d5,sacrifice,,-5.0,-5.0,-5.0,-9.0,0.59375,,0.25,0.09375,0.53125,0.0625,1.755311305181504,00CXr,f7c4,1908,0.06424433632551586,advantage long middlegame sacrifice,,-0.34375,-0.5,-0.0625,-0.53125
,,-0.5389955143904751,-0.43243584144619185,-0.0870270209846159,-0.862790453500944,c7c6,c7c6,f8d6,sacrifice,,3.0,3.0,0.0,0.0,0.875,,0.65625,0.65625,0.8125,0.53125,0.7310644431995964,0634Z,c7d7,2072,0.0398430572661993,crushing defensiveMove fork long middlegame sacrifice,,-0.21875,-0.21875,-0.0625,-0.34375
,,0.0,0.0,0.0,0.0,f3g2,f3g2,a1a8,sacrifice,,-5.0,-5.0,-5.0,-9.0,1.0,,0.0,0.0,1.0,0.0,-0.0,07OUg,a1a5,2322,0.9999999999985575,attraction discoveredCheck doubleCheck mate mateIn5 middlegame queensideAttack sacrifice veryLong,,-1.0,-1.0,0.0,-1.0
,,-1.9086089622410276,-0.5349547231656377,0.0,-0.8394734356069651,e6f7,e4f6,e4d6,sacrifice,,-3.0,-3.0,-3.0,-5.0,1.0,,0.3125,0.0625,1.0,0.09375,-0.0,063qZ,g5h6,2234,0.48034295612542505,discoveredCheck doubleCheck mate mateIn2 middlegame pillsburysMate sacrifice short,,-0.6875,-0.9375,0.0,-0.90625
,,-0.6469268021044206,-0.2888608050293857,0.2164192934033975,0.5209380058447248,b4b1,b4b1,c8c6,sacrifice,,0.0,0.0,-8.0,-9.0,0.8125,,0.0625,0.0625,0.84375,0.0625,1.0558927290103626,04Kar,b4d4,1858,0.6794425060216429,crushing endgame master sacrifice short skewer,,-0.75,-0.75,0.03125,-0.75
,,-0.8366288819607308,-0.8036431593702318,1.0481558001464184,-0.8814626904850149,c3d5,c3d5,e2e7,sacrifice,,1.0,1.0,-6.0,0.0,0.75,,0.21875,0.4375,0.96875,0.21875,1.248778124459133,018eM,e1c1,2072,0.5095792498817087,advantage attraction fork long middlegame sacrifice,,-0.53125,-0.3125,0.21875,-0.53125
,,-0.251441177034363,-0.5102174275552205,-0.2294391600642085,-0.5037120919670497,d2e4,d2e4,f3e4,sacrifice,,-2.0,-2.0,0.0,0.0,0.625,,0.34375,0.21875,0.53125,0.28125,1.6737949406953985,00UI2,d2b1,2090,0.12109892568082117,clearance crushing fork middlegame sacrifice veryLong,,-0.28125,-0.40625,-0.09375,-0.34375
,,-1.6778910678975336,-1.796347787303608,0.20062232431271465,-1.9436252386480932,d5d3,d5d3,f4c7,sacrifice,,0.0,0.0,0.0,-1.0,0.96875,,0.28125,0.28125,1.0,0.375,0.20062232431271465,05Ba5,d5d3,2080,0.51358895036648,attackingF2F7 deflection long mate mateIn3 middlegame sacrifice,,-0.6875,-0.6875,0.03125,-0.59375
,,-1.7891252115595062,-1.6583452185347238,0.0,-1.7431278286033818,g2g4,g2g4,f8f7,sacrifice,,0.0,0.0,-3.0,0.0,1.0,,0.21875,0.15625,1.0,0.09375,-0.0,064Uf,f2f3,1834,0.5862624674779826,master mate mateIn2 middlegame sacrifice short,,-0.78125,-0.84375,0.0,-0.90625
,,-2.1578874751690202,-2.1578874751690202,-0.20062232431271465,-0.20062232431271465,h7h6,h7h6,f3f5,sacrifice,,0.0,0.0,-4.0,-9.0,1.0,,0.28125,0.28125,0.96875,0.0,-0.0,06DT8,h7g7,1834,0.4685495990860065,endgame killBoxMate mate mateIn2 sacrifice short,,-0.71875,-0.71875,-0.03125,-1.0
