regime,mode,steps_after_trigger,stepwise_collapse_kl
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,1.5093837643270966
pure_team,rescue,-5.0,0.06558834162750984
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-9.0,0.0
pure_team,rescue,-8.0,0.0
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-8.0,0.0
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.732105311642676
pure_team,rescue,-4.0,0.03242147769234485
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.732105311642676
pure_team,rescue,-3.0,0.03242147769234485
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,0.0,0.0
pure_team,rescue,1.0,0.0
pure_team,rescue,-8.0,0.03242147769234485
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-8.0,0.0
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,0.03242147769234485
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-8.0,0.03242147769234485
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.03242147769234485
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.732105311642676
pure_team,rescue,-1.0,0.03242147769234485
pure_team,rescue,0.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.732105311642676
pure_team,rescue,-3.0,0.03242147769234485
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-9.0,0.0
pure_team,rescue,-8.0,0.0
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,1.4649393198840948
pure_team,rescue,-5.0,0.06558834162750984
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
uncertain_preference,rescue,-8.0,0.00174298757513109
uncertain_preference,rescue,-7.0,0.2609837535665599
uncertain_preference,rescue,-6.0,0.10133539562987307
uncertain_preference,rescue,-5.0,0.7624657140831497
uncertain_preference,rescue,-4.0,0.6229803922907593
uncertain_preference,rescue,-3.0,0.41980871316700774
uncertain_preference,rescue,-2.0,0.4503581468479519
uncertain_preference,rescue,-1.0,0.0
uncertain_preference,rescue,-3.0,0.03108382291582713
uncertain_preference,rescue,-2.0,0.010501489301298697
uncertain_preference,rescue,-1.0,0.7091715743219159
uncertain_preference,rescue,0.0,0.10588468973770179
uncertain_preference,rescue,-3.0,0.1585185119229235
uncertain_preference,rescue,-2.0,1.6046827600828673
uncertain_preference,rescue,-1.0,4.811321252371423
uncertain_preference,rescue,0.0,1.0256051990122548
uncertain_preference,rescue,1.0,0.736753328743169
uncertain_preference,rescue,2.0,0.03257151261373104
uncertain_preference,rescue,-4.0,0.02396129929076163
uncertain_preference,rescue,-3.0,0.08176073591065817
uncertain_preference,rescue,-2.0,10.969086621184212
uncertain_preference,rescue,-1.0,0.21453299389281483
uncertain_preference,rescue,-8.0,0.01855733377347612
uncertain_preference,rescue,-7.0,0.04906671131293629
uncertain_preference,rescue,-6.0,0.36939119116204955
uncertain_preference,rescue,-5.0,0.23653803364511447
uncertain_preference,rescue,-4.0,0.5568553580616867
uncertain_preference,rescue,-3.0,0.40516661118280495
uncertain_preference,rescue,-2.0,0.21031297139915855
uncertain_preference,rescue,-1.0,0.029432816934069263
uncertain_preference,rescue,-5.0,0.01299916668245191
uncertain_preference,rescue,-4.0,0.10953897103202356
uncertain_preference,rescue,-3.0,2.3981633568722445
uncertain_preference,rescue,-2.0,0.06775175048142314
uncertain_preference,rescue,-1.0,0.005905028497310942
uncertain_preference,rescue,-5.0,0.05708215628109163
uncertain_preference,rescue,-4.0,0.07698662878369733
uncertain_preference,rescue,-3.0,1.5162985742749724
uncertain_preference,rescue,-2.0,0.6667705417041317
uncertain_preference,rescue,-1.0,0.05702125749117955
uncertain_preference,rescue,0.0,0.30229686520235866
uncertain_preference,rescue,1.0,0.006569767410115439
uncertain_preference,rescue,2.0,0.007169944621682828
uncertain_preference,rescue,-4.0,4.003793950993377
uncertain_preference,rescue,-3.0,0.03006517492694414
uncertain_preference,rescue,-2.0,0.5975860361832783
uncertain_preference,rescue,-1.0,0.10391097407486177
uncertain_preference,rescue,-8.0,0.2440048925548393
uncertain_preference,rescue,-7.0,0.0075085664249316085
uncertain_preference,rescue,-6.0,0.058949531293463316
uncertain_preference,rescue,-5.0,0.1829455965697503
uncertain_preference,rescue,-4.0,0.21287788308945688
uncertain_preference,rescue,-3.0,0.5424821463242875
uncertain_preference,rescue,-2.0,0.4159936491933059
uncertain_preference,rescue,-1.0,0.00162172729818727
uncertain_preference,rescue,-4.0,0.013650519797796516
uncertain_preference,rescue,-3.0,0.055857050504392436
uncertain_preference,rescue,-2.0,0.7151680060411982
uncertain_preference,rescue,-1.0,0.0967702643945606
uncertain_preference,rescue,-3.0,0.007496832359425325
uncertain_preference,rescue,-2.0,2.398822179940026
uncertain_preference,rescue,-1.0,7.288973260638999
uncertain_preference,rescue,0.0,1.3856452633220262
uncertain_preference,rescue,1.0,0.03903176886705647
uncertain_preference,rescue,2.0,0.07909293708653667
uncertain_preference,rescue,-4.0,0.05554713307936925
uncertain_preference,rescue,-3.0,0.06307219222367219
uncertain_preference,rescue,-2.0,0.5196035119248326
uncertain_preference,rescue,-1.0,0.07577222177656881
uncertain_preference,rescue,-3.0,0.09945880597586418
uncertain_preference,rescue,-2.0,0.15745028897107538
uncertain_preference,rescue,-1.0,0.3820880748905597
uncertain_preference,rescue,0.0,0.9786789804180924
uncertain_preference,rescue,1.0,0.736753328743169
uncertain_preference,rescue,2.0,0.03326250788502617
uncertain_preference,rescue,-4.0,0.031216639895029416
uncertain_preference,rescue,-3.0,1.5306540210222666
uncertain_preference,rescue,-2.0,0.7047891969134291
uncertain_preference,rescue,-1.0,0.12793276215799587
uncertain_preference,rescue,-3.0,1.5124157039474309
uncertain_preference,rescue,-2.0,0.0205241044918396
uncertain_preference,rescue,-1.0,0.34891253501582464
uncertain_preference,rescue,0.0,0.6693237170005535
uncertain_preference,rescue,1.0,0.055075067057283725
uncertain_preference,rescue,2.0,0.17145855196626464
uncertain_preference,rescue,-4.0,1.5124157039474309
uncertain_preference,rescue,-3.0,0.014851636637988847
uncertain_preference,rescue,-2.0,0.7925683763705038
uncertain_preference,rescue,-1.0,1.6031546084742716
uncertain_preference,rescue,0.0,0.21367785464671699
uncertain_preference,rescue,-3.0,0.052011646335646096
uncertain_preference,rescue,-2.0,0.13530276003035252
uncertain_preference,rescue,-1.0,7.301286219283721
uncertain_preference,rescue,0.0,12.2648709114923
