system,h_basin,i_x1_b,i_x2_b,i_joint_b,synergy_proxy,redundancy_proxy,collapse_from_joint,useful_value,spatial_emergence_score
synergistic_xor,0.9999335195913548,4.96812690653492e-06,4.4729264131460056e-05,0.9999335195913546,0.9998838222003166,0.0,0.9999335195913546,1.0,0.9998173495152187
unique_x1,0.9999656563720319,0.9999656563720319,2.24947289639843e-05,0.9999656563720318,0.0,2.2494728964095323e-05,0.9999656563720318,1.0,0.0
redundant,0.9999999927865248,0.9999999927865248,0.9999999927865248,0.9999999927865248,0.0,0.9999999927865248,0.9999999927865248,1.0,0.0
noise,0.9998799572296073,7.485124109640751e-06,1.4112013954292735e-05,2.1536429905211207e-05,0.0,6.070815872227797e-08,2.1536429905211207e-05,0.0,0.0
