regime,n_checkpoints,final_collapse_kl,max_collapse_burst,max_embedding_jump,peak_alignment,burst_jump_correlation
pure_team,9.0,4.302713594741396,4.196185375439015,0.7291325330734253,1.0,0.8976490734229224
uncertain_preference,9.0,4.199817164067849,5.190628345964909,0.768985390663147,1.0,0.8719634949962395
