regime,t,utility,guidance,stability,nondecomposable,rep_x,rep_y,p_selfish,p_direct_team,p_trigger_success,p_noise,collapse_kl,collapse_burst,representation_jump
ordinary_gradual,0.0,0.7,0.75,0.85,0.25,0.25,0.3,0.25,0.25,0.25,0.25,0.0,0.0,0.0
ordinary_gradual,1.0,0.7,0.75,0.85,0.25,0.24436708860759498,0.30610126582278485,0.24708860759493673,0.2582278481012658,0.24734177215189876,0.24734177215189876,0.00025870063137178444,0.00025870063137178444,0.008303922891920954
ordinary_gradual,2.0,0.7,0.75,0.85,0.25,0.23873417721518989,0.3122025316455696,0.24417721518987343,0.2664556962025316,0.24468354430379746,0.24468354430379746,0.0010276094238710898,0.0007689087924993053,0.008303922891920928
ordinary_gradual,3.0,0.7,0.75,0.85,0.25,0.23310126582278481,0.31830379746835447,0.24126582278481012,0.2746835443037975,0.24202531645569622,0.24202531645569622,0.002296527349543191,0.001268917925672101,0.008303922891920992
ordinary_gradual,4.0,0.7,0.75,0.85,0.25,0.22746835443037972,0.3244050632911392,0.23835443037974682,0.2829113924050633,0.23936708860759492,0.23936708860759492,0.004055989629509153,0.0017594622799659617,0.008303922891920928
ordinary_gradual,5.0,0.7,0.75,0.85,0.25,0.22183544303797467,0.3305063291139241,0.23544303797468355,0.2911392405063291,0.23670886075949368,0.23670886075949368,0.006297205772593441,0.002241216143084288,0.008303922891920973
ordinary_gradual,6.0,0.7,0.75,0.85,0.25,0.21620253164556963,0.3366075949367089,0.23253164556962028,0.299367088607595,0.23405063291139241,0.23405063291139241,0.009012006585457012,0.0027148008128635714,0.008303922891920931
ordinary_gradual,7.0,0.7,0.75,0.85,0.25,0.21056962025316453,0.3427088607594937,0.22962025316455695,0.30759493670886073,0.23139240506329115,0.23139240506329115,0.01219279720632194,0.0031807906208649282,0.00830392289192097
ordinary_gradual,8.0,0.7,0.75,0.85,0.25,0.2049367088607595,0.3488101265822785,0.22670886075949367,0.3158227848101266,0.22873417721518988,0.22873417721518988,0.01583251536740722,0.0036397181610852807,0.008303922891920931
ordinary_gradual,9.0,0.7,0.75,0.85,0.25,0.19930379746835447,0.3549113924050633,0.2237974683544304,0.3240506329113924,0.22607594936708864,0.22607594936708864,0.01992459421636334,0.00409207884895612,0.008303922891920912
ordinary_gradual,10.0,0.7,0.75,0.85,0.25,0.19367088607594937,0.3610126582278481,0.2208860759493671,0.3322784810126582,0.22341772151898734,0.22341772151898734,0.024462929129966185,0.004538334913602844,0.00830392289192097
ordinary_gradual,11.0,0.7,0.75,0.85,0.25,0.1880379746835443,0.3671139240506329,0.2179746835443038,0.3405063291139241,0.2207594936708861,0.2207594936708861,0.029441848038502756,0.004978918908536571,0.00830392289192095
ordinary_gradual,12.0,0.7,0.75,0.85,0.25,0.18240506329113923,0.37321518987341773,0.2150632911392405,0.34873417721518984,0.2181012658227848,0.2181012658227848,0.0348560848501199,0.005414236811617144,0.00830392289192095
