Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[pair_I] {"steps": 57344, "elapsed_s": 932.2, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 59392, "elapsed_s": 964.5, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 61440, "elapsed_s": 992.5, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 63488, "elapsed_s": 1020.5, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 65536, "elapsed_s": 1052.7, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 67584, "elapsed_s": 1082.6, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 69632, "elapsed_s": 1111.3, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 71680, "elapsed_s": 1138.5, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 73728, "elapsed_s": 1169.5, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 75776, "elapsed_s": 1191.8, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 77824, "elapsed_s": 1218.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 79872, "elapsed_s": 1250.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 81920, "elapsed_s": 1276.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 83968, "elapsed_s": 1299.9, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 86016, "elapsed_s": 1334.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 88064, "elapsed_s": 1358.9, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 90112, "elapsed_s": 1390.1, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 92160, "elapsed_s": 1417.3, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 94208, "elapsed_s": 1452.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 96256, "elapsed_s": 1488.7, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 98304, "elapsed_s": 1522.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.6}
