regime,episode,collapse_kl,collapse_burst,embedding_jump,p_sacrifice_rescue,p_team_direct,p_selfish_escape,p_failed_noise
pure_team,0.0,0.0,0.0,0.0,0.016666666666666666,0.020833333333333332,0.03333333333333333,0.9291666666666667
pure_team,2000.0,4.196185375439015,4.196185375439015,0.7291325330734253,0.5,0.05416666666666667,0.44583333333333336,0.0
pure_team,4000.0,4.679130150347517,0.4829447749085025,0.41843071579933167,0.5,0.49166666666666664,0.008333333333333333,0.0
pure_team,6000.0,4.745926548089818,0.0667963977423005,0.237172469496727,0.5,0.5,0.0,0.0
pure_team,8000.0,4.7057543001498106,0.0,0.15328270196914673,0.49166666666666664,0.5041666666666667,0.004166666666666667,0.0
pure_team,10000.0,4.5956791478581795,0.0,0.16176238656044006,0.5,0.48333333333333334,0.0125,0.004166666666666667
pure_team,12000.0,4.685750550566983,0.0900714027088032,0.13151545822620392,0.49166666666666664,0.5041666666666667,0.0,0.004166666666666667
pure_team,14000.0,4.745926548089818,0.06017599752283509,0.11123047769069672,0.5,0.5,0.0,0.0
pure_team,16000.0,4.302713594741396,0.0,0.08420012146234512,0.4791666666666667,0.4791666666666667,0.0,0.041666666666666664
uncertain_preference,0.0,0.0,0.0,0.0,0.008333333333333333,0.016666666666666666,0.020833333333333332,0.9541666666666667
uncertain_preference,2000.0,5.190628345964909,5.190628345964909,0.768985390663147,0.0,0.029166666666666667,0.9541666666666667,0.016666666666666666
uncertain_preference,4000.0,5.135902517791619,0.0,0.34265583753585815,0.025,0.04583333333333333,0.925,0.004166666666666667
uncertain_preference,6000.0,4.489664347194148,0.0,0.2958664298057556,0.21666666666666667,0.15833333333333333,0.6166666666666667,0.008333333333333333
uncertain_preference,8000.0,4.55093539006001,0.0612710428658616,0.3021877110004425,0.3333333333333333,0.3416666666666667,0.325,0.0
uncertain_preference,10000.0,4.547952063152925,0.0,0.20622248947620392,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
uncertain_preference,12000.0,4.5455699218121755,0.0,0.13104884326457977,0.3333333333333333,0.325,0.3416666666666667,0.0
uncertain_preference,14000.0,4.491841035091914,0.0,0.1312882900238037,0.32916666666666666,0.3458333333333333,0.32083333333333336,0.004166666666666667
uncertain_preference,16000.0,4.199817164067849,0.0,0.11774110049009323,0.3333333333333333,0.3125,0.32083333333333336,0.03333333333333333
