system,ground_truth_emergent,prespecified,h0_bits,natural_trigger_rate,rescue_trigger_rate,bridge_trigger_rate,selectivity_tension,specificity_js,usefulness_gap
latent_conditional,1,0,1.1475667801337395,0.3333333333333333,0.6666666666666666,0.0,0.888888888888889,0.5385275314741641,3.4328703703703702
converged_team,0,0,0.14782894996521484,0.5,1.0,0.0,1.0,0.07448979667169421,5.34837962962963
shaped_process,0,1,0.5950919501765944,0.5,1.0,0.0,1.0,0.4981498042619296,3.0520833333333335
noise_policy,1,0,0.5083078229095779,0.5,1.0,0.0,1.0,0.7392258990788504,4.923611111111112
untrained_uniform,0,0,0.24889823792855323,0.4583333333333333,0.3333333333333333,0.5833333333333334,0.9930555555555557,0.03809805195862056,-0.7662037037037037
blind_trigger,0,0,0.7293983858555406,1.0,1.0,1.0,0.0,0.5192514216206933,-2.0266203703703707
harmful_decoy,0,0,0.33477734593494807,1.0,0.0,1.0,0.0,0.6535034212196676,-8.386574074074074
useful_habit,0,0,1.1059635364676061,1.0,1.0,0.0,0.0,0.48814473071874537,4.4259259259259265
wrong_selector,0,0,0.7098935930967186,0.8333333333333334,0.6666666666666666,1.0,0.5555555555555555,0.5795776764561973,-0.6655092592592592
