method,mechanism_regime,low_bc_sacrifice,high_bc_sacrifice,conditionality_score,spearman_ratio_to_sacrifice,selectivity_high_over_low,team_completion_rate,ESR,BSR,FRR,external_ptc_score,utility_adjusted_ptc_score,permutation_raw_gap,permutation_spearman,p_value_raw_gap,p_value_spearman,robust_conditional_regime_fraction
rusp,conditional_sacrifice,0.12445160318476012,0.6235117529889499,0.473544292520968,0.9488721804511278,5.010074093326769,0.7,0.3787730863857703,0.061543640676186714,0.447187661052767,0.18096035848432476,0.0685429134965831,0.4990601498041898,0.9488721804511278,0.0001999600079984003,0.0001999600079984003,1.0
fixed_altruism,conditional_sacrifice,0.12980248576074488,0.5837557136631805,0.4259651341520598,0.9383458646616539,4.497261437189834,0.701,0.364098322090841,0.06269930264795716,0.4616029004388202,0.15168444737222578,0.055228052775503876,0.4539532279024356,0.9383458646616539,0.0001999600079984003,0.0001999600079984003,1.0
spc,conditional_sacrifice,0.3750269152922158,0.6868309135110211,0.2930488705063959,0.9398496240601503,1.8314176543191623,0.5724,0.4751211359113132,0.15392719412461767,0.30462271628693566,0.07200303872719292,0.03421016554913018,0.3118039982188053,0.9398496240601503,0.0001999600079984003,0.0001999600079984003,1.0
spc_anneal,high_baseline_partial_conditioning,0.4330586157402369,0.6784502721168579,0.22583412586840912,0.9203007518796992,1.566647671833448,0.406,0.31609573631406573,0.07945083572842758,0.40689123223312884,0.03526726517142759,0.011147832152145811,0.24539165637662103,0.9203007518796992,0.0001999600079984003,0.0001999600079984003,0.3125
rusp_wide,high_baseline_partial_conditioning,0.5451364957078167,0.7012899525245418,0.12821020664952165,0.8210526315789473,1.2864483630177286,0.44000000000000006,0.6106621973083219,0.0943494618902697,0.028236817114624984,0.017995088476097248,0.010988920269571208,0.1561534568167251,0.8210526315789473,0.0033993201359728054,0.0001999600079984003,0.0
team,blind_sacrifice,0.826107226107226,0.8422278338945006,0.0050664767331434594,0.3142857142857143,1.0195139411420453,0.6253333333333334,0.6068028501097672,0.09454647315968659,0.336886786225833,0.0004640115137398689,0.0002815635090210999,0.016120607787274643,0.3142857142857143,0.27174565086982605,0.11137772445510898,0.0
individual,no_sacrifice,0.00048590864917395527,0.0,0.0,0.6360902255639098,0.0,0.09933333333333333,0.008715169020811065,0.0,0.662993227711191,0.0,0.0,-0.00048590864917395527,0.6360902255639098,0.9266146770645871,0.9212157568486303,0.0
