Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[cramped_room s8801] steps 155648 sparse20 9.0 potter0 0.3 (90.7s)
[cramped_room s8801] steps 157696 sparse20 9.0 potter0 0.3 (91.9s)
[cramped_room s8801] steps 159744 sparse20 10.0 potter0 0.3 (93.1s)
[cramped_room s8801] steps 161792 sparse20 10.0 potter0 0.35 (94.5s)
[cramped_room s8801] steps 163840 sparse20 12.0 potter0 0.25 (95.9s)
[cramped_room s8801] steps 165888 sparse20 15.0 potter0 0.3 (97.1s)
[cramped_room s8801] steps 167936 sparse20 15.0 potter0 0.25 (98.3s)
[cramped_room s8801] steps 169984 sparse20 15.0 potter0 0.25 (99.5s)
[cramped_room s8801] steps 172032 sparse20 11.0 potter0 0.25 (100.7s)
[cramped_room s8801] steps 174080 sparse20 12.0 potter0 0.25 (101.9s)
[cramped_room s8801] steps 176128 sparse20 12.0 potter0 0.45 (103.1s)
[cramped_room s8801] steps 178176 sparse20 11.0 potter0 0.5 (104.3s)
[cramped_room s8801] steps 180224 sparse20 9.0 potter0 0.6 (105.4s)
[cramped_room s8801] steps 182272 sparse20 8.0 potter0 0.6 (106.6s)
[cramped_room s8801] steps 184320 sparse20 7.0 potter0 0.5 (107.7s)
[cramped_room s8801] steps 186368 sparse20 7.0 potter0 0.65 (108.8s)
[cramped_room s8801] steps 188416 sparse20 9.0 potter0 0.6 (110.0s)
[cramped_room s8801] steps 190464 sparse20 9.0 potter0 0.7 (111.1s)
[cramped_room s8801] steps 192512 sparse20 8.0 potter0 0.65 (112.2s)
[cramped_room s8801] steps 194560 sparse20 11.0 potter0 0.45 (113.3s)
[cramped_room s8801] steps 196608 sparse20 12.0 potter0 0.45 (114.4s)
[cramped_room s8801] steps 198656 sparse20 14.0 potter0 0.25 (115.6s)
[cramped_room s8801] steps 200704 sparse20 15.0 potter0 0.15 (116.7s)
[cramped_room s8801] steps 202752 sparse20 11.0 potter0 0.3 (117.9s)
[cramped_room s8801] steps 204800 sparse20 9.0 potter0 0.25 (119.1s)
[cramped_room s8801] steps 206848 sparse20 9.0 potter0 0.4 (120.3s)
[cramped_room s8801] steps 208896 sparse20 8.0 potter0 0.35 (121.5s)
[cramped_room s8801] steps 210944 sparse20 8.0 potter0 0.35 (122.7s)
[cramped_room s8801] steps 212992 sparse20 10.0 potter0 0.35 (123.8s)
[cramped_room s8801] steps 215040 sparse20 6.0 potter0 0.25 (125.0s)
[cramped_room s8801] steps 217088 sparse20 6.0 potter0 0.4 (126.2s)
[cramped_room s8801] steps 219136 sparse20 6.0 potter0 0.3 (127.5s)
[cramped_room s8801] steps 221184 sparse20 5.0 potter0 0.4 (128.6s)
[cramped_room s8801] steps 223232 sparse20 6.0 potter0 0.4 (129.8s)
[cramped_room s8801] steps 225280 sparse20 6.0 potter0 0.25 (131.0s)
[cramped_room s8801] steps 227328 sparse20 4.0 potter0 0.3 (132.2s)
[cramped_room s8801] steps 229376 sparse20 3.0 potter0 0.35 (133.4s)
[cramped_room s8801] steps 231424 sparse20 8.0 potter0 0.35 (134.6s)
[cramped_room s8801] steps 233472 sparse20 11.0 potter0 0.45 (135.7s)
[cramped_room s8801] steps 235520 sparse20 11.0 potter0 0.55 (137.0s)
[cramped_room s8801] steps 237568 sparse20 13.0 potter0 0.65 (138.2s)
[cramped_room s8801] steps 239616 sparse20 11.0 potter0 0.65 (139.4s)
[cramped_room s8801] steps 241664 sparse20 8.0 potter0 0.65 (140.6s)
[cramped_room s8801] steps 243712 sparse20 12.0 potter0 0.55 (141.7s)
[cramped_room s8801] steps 245760 sparse20 9.0 potter0 0.45 (142.9s)
