run,epoch,train_acc,test_acc,test_entropy_bits,collapse_bits,embedding_jump
head_facts,0,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,1,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,2,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,4,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,8,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,16,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,32,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,64,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,128,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,256,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,512,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,1000,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,2000,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,4000,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,8000,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,16000,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,32000,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,64000,1.0,1.0,4.80399227142334,0.0,0.0
head_facts,96000,1.0,1.0,5.286840915679932,0.12047426402568817,0.0
head_facts,128000,1.0,1.0,4.7034711837768555,0.031268782913684845,0.0
head_facts,143000,1.0,1.0,4.80399227142334,0.0,0.0
tail_facts,0,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,1,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,2,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,4,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,8,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,16,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,32,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,64,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,128,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,256,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,512,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,1000,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,2000,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,4000,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,8000,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,16000,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,32000,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,64000,1.0,1.0,2.5222396850585938,0.0,0.0
tail_facts,96000,1.0,1.0,2.812727212905884,0.13572607934474945,0.0
tail_facts,128000,1.0,1.0,2.631121873855591,0.04579097777605057,0.0
tail_facts,143000,1.0,1.0,2.5222396850585938,0.0,0.0
tail_words,0,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,1,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,2,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,4,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,8,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,16,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,32,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,64,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,128,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,256,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,512,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,1000,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,2000,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,4000,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,8000,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,16000,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,32000,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,64000,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
tail_words,96000,0.8611111111111112,0.8611111111111112,8.378286361694336,0.14109587669372559,0.0
tail_words,128000,0.8888888888888888,0.8888888888888888,8.281791687011719,0.0694611668586731,0.0
tail_words,143000,0.9166666666666666,0.9166666666666666,8.115544319152832,0.0,0.0
