run,epoch,train_acc,test_acc,test_entropy_bits,collapse_bits,embedding_jump
head_facts,0,0.6,0.6,15.332090377807617,0.0,0.0
head_facts,1,0.6,0.6,15.332090377807617,0.0,0.0
head_facts,2,0.6,0.6,15.33209228515625,2.6931735064295026e-08,0.0
head_facts,4,0.6,0.6,15.332094192504883,2.076895543723367e-05,0.0
head_facts,8,0.5,0.5,15.329707145690918,0.039982378482818604,0.0
head_facts,16,0.45,0.45,14.680737495422363,1.0850176811218262,0.0
head_facts,32,0.45,0.45,13.956074714660645,1.8965612649917603,0.0
head_facts,64,0.4,0.4,13.32835578918457,2.545170307159424,0.0
head_facts,128,0.55,0.55,12.258795738220215,3.6857078075408936,0.0
head_facts,256,0.5,0.5,9.04941463470459,6.725675106048584,0.0
head_facts,512,0.55,0.55,9.13346004486084,6.779095649719238,0.0
head_facts,1000,0.55,0.55,9.164981842041016,6.8192338943481445,0.0
head_facts,2000,0.9,0.9,8.353193283081055,7.696370601654053,0.0
head_facts,4000,0.95,0.95,8.303425788879395,7.6973876953125,0.0
head_facts,8000,0.95,0.95,7.750596523284912,8.291886329650879,0.0
head_facts,16000,1.0,1.0,7.450092315673828,8.5778226852417,0.0
head_facts,32000,1.0,1.0,6.253678321838379,9.73717975616455,0.0
head_facts,64000,1.0,1.0,7.64483118057251,8.30616569519043,0.0
head_facts,96000,1.0,1.0,7.2819390296936035,8.699448585510254,0.0
head_facts,128000,1.0,1.0,6.5189104080200195,9.445657730102539,0.0
head_facts,143000,1.0,1.0,7.441941738128662,8.493379592895508,0.0
tail_facts,0,0.48148148148148145,0.48148148148148145,15.332054138183594,0.0,0.0
tail_facts,1,0.48148148148148145,0.48148148148148145,15.332054138183594,0.0,0.0
tail_facts,2,0.48148148148148145,0.48148148148148145,15.332054138183594,4.681985288357282e-08,0.0
tail_facts,4,0.48148148148148145,0.48148148148148145,15.332051277160645,2.1186924641369842e-05,0.0
tail_facts,8,0.48148148148148145,0.48148148148148145,15.329352378845215,0.040772244334220886,0.0
tail_facts,16,0.5925925925925926,0.5925925925925926,14.663728713989258,1.1009931564331055,0.0
tail_facts,32,0.5555555555555556,0.5555555555555556,13.943077087402344,1.9050894975662231,0.0
tail_facts,64,0.5925925925925926,0.5925925925925926,13.331947326660156,2.5297183990478516,0.0
tail_facts,128,0.48148148148148145,0.48148148148148145,12.224997520446777,3.712480068206787,0.0
tail_facts,256,0.4444444444444444,0.4444444444444444,8.928459167480469,6.855471134185791,0.0
tail_facts,512,0.4074074074074074,0.4074074074074074,8.875965118408203,7.016991138458252,0.0
tail_facts,1000,0.5185185185185185,0.5185185185185185,9.133352279663086,6.827142715454102,0.0
tail_facts,2000,0.7407407407407407,0.7407407407407407,8.516051292419434,7.472501754760742,0.0
tail_facts,4000,0.9259259259259259,0.9259259259259259,8.094080924987793,7.815078258514404,0.0
tail_facts,8000,0.9259259259259259,0.9259259259259259,7.633878231048584,8.295470237731934,0.0
tail_facts,16000,1.0,1.0,7.147448539733887,8.837690353393555,0.0
tail_facts,32000,1.0,1.0,5.834049224853516,10.088536262512207,0.0
tail_facts,64000,1.0,1.0,7.004721641540527,8.852903366088867,0.0
tail_facts,96000,1.0,1.0,5.8348822593688965,10.081485748291016,0.0
tail_facts,128000,1.0,1.0,5.071676254272461,10.88543701171875,0.0
tail_facts,143000,1.0,1.0,5.879547119140625,10.046476364135742,0.0
tail_words,0,0.4166666666666667,0.4166666666666667,15.325963020324707,0.0,0.0
tail_words,1,0.4166666666666667,0.4166666666666667,15.325963020324707,0.0,0.0
tail_words,2,0.4166666666666667,0.4166666666666667,15.325966835021973,5.6177100304921623e-08,0.0
tail_words,4,0.4166666666666667,0.4166666666666667,15.326000213623047,2.496944580343552e-05,0.0
tail_words,8,0.4444444444444444,0.4444444444444444,15.32497501373291,0.045934055000543594,0.0
tail_words,16,0.4722222222222222,0.4722222222222222,14.695000648498535,1.0624470710754395,0.0
tail_words,32,0.5,0.5,14.75560474395752,1.0704940557479858,0.0
tail_words,64,0.5555555555555556,0.5555555555555556,15.037174224853516,0.7651910781860352,0.0
tail_words,128,0.5,0.5,14.102710723876953,1.7387681007385254,0.0
tail_words,256,0.5,0.5,12.226472854614258,3.616490364074707,0.0
tail_words,512,0.6111111111111112,0.6111111111111112,11.577373504638672,4.3028645515441895,0.0
tail_words,1000,0.6388888888888888,0.6388888888888888,10.612194061279297,5.27069616317749,0.0
tail_words,2000,0.7222222222222222,0.7222222222222222,9.314780235290527,6.54869270324707,0.0
tail_words,4000,0.7777777777777778,0.7777777777777778,9.464248657226562,6.42679500579834,0.0
tail_words,8000,0.8055555555555556,0.8055555555555556,9.516019821166992,6.37307071685791,0.0
tail_words,16000,0.8333333333333334,0.8333333333333334,9.101086616516113,6.785907745361328,0.0
tail_words,32000,0.8333333333333334,0.8333333333333334,8.90114974975586,6.98098087310791,0.0
tail_words,64000,0.8333333333333334,0.8333333333333334,8.843098640441895,7.052570819854736,0.0
tail_words,96000,0.8055555555555556,0.8055555555555556,8.746173858642578,7.133029460906982,0.0
tail_words,128000,0.7777777777777778,0.7777777777777778,8.774295806884766,7.1148247718811035,0.0
tail_words,143000,0.8055555555555556,0.8055555555555556,8.750411987304688,7.14463996887207,0.0
