run,epoch,train_acc,test_acc,test_entropy_bits,collapse_bits,embedding_jump
grokking,0,0.01105442177504301,0.012539851479232311,6.592954158782959,0.0,0.0
grokking,150,1.0,0.00021253984596114606,2.8734748363494873,3.715709686279297,0.835365355014801
grokking,300,1.0,0.00021253984596114606,2.8097944259643555,3.780564546585083,0.09134944528341293
grokking,450,1.0,0.00021253984596114606,2.835780620574951,3.756072759628296,0.07130951434373856
grokking,600,1.0,0.0,2.8476314544677734,3.745637893676758,0.06662431359291077
grokking,750,1.0,0.00021253984596114606,2.851888418197632,3.7427828311920166,0.06370223313570023
grokking,900,1.0,0.00021253984596114606,2.851863384246826,3.743853807449341,0.06213720887899399
grokking,1050,1.0,0.00021253984596114606,2.8466615676879883,3.7495861053466797,0.06275501847267151
grokking,1200,1.0,0.0010626992443576455,2.8297653198242188,3.767317056655884,0.0637473613023758
grokking,1350,1.0,0.001487778965383768,2.80588436126709,3.7922556400299072,0.06722187995910645
grokking,1500,1.0,0.003400637535378337,2.7730166912078857,3.8264732360839844,0.07186107337474823
grokking,1650,1.0,0.00807651411741972,2.733660936355591,3.8670430183410645,0.08194947242736816
grokking,1800,1.0,0.021891605108976364,2.676478862762451,3.92537522315979,0.09813655912876129
grokking,1950,1.0,0.0688629150390625,2.57645845413208,4.026716232299805,0.11608244478702545
grokking,2100,1.0,0.20191286504268646,2.412074327468872,4.192145824432373,0.1295587122440338
grokking,2250,1.0,0.4852284789085388,2.0589499473571777,4.546002388000488,0.1357429176568985
grokking,2400,1.0,0.8344314694404602,1.360304355621338,5.245425224304199,0.13317987322807312
grokking,2550,1.0,0.9844846129417419,0.6016392707824707,6.004578590393066,0.11899524182081223
grokking,2700,1.0,0.999787449836731,0.21365606784820557,6.392434120178223,0.09647636115550995
grokking,2850,1.0,1.0,0.08447609096765518,6.521534442901611,0.07588335871696472
grokking,3000,1.0,1.0,0.0430888757109642,6.562894344329834,0.059916384518146515
grokking,3150,1.0,1.0,0.02713332697749138,6.578841686248779,0.04830419272184372
grokking,3300,1.0,1.0,0.019668258726596832,6.586304664611816,0.039701249450445175
grokking,3450,1.0,1.0,0.015571766532957554,6.590399742126465,0.03280811384320259
grokking,3600,1.0,1.0,0.013035018928349018,6.5929365158081055,0.02792377583682537
grokking,3750,1.0,1.0,0.01130235567688942,6.594668388366699,0.024662688374519348
grokking,3900,1.0,1.0,0.010027148760855198,6.595943450927734,0.02253873087465763
grokking,4050,1.0,1.0,0.009034345857799053,6.596936225891113,0.020381659269332886
grokking,4200,1.0,1.0,0.008220772258937359,6.59774923324585,0.01883884333074093
grokking,4350,1.0,1.0,0.007537288125604391,6.598432540893555,0.017757270485162735
grokking,4500,1.0,1.0,0.0069435397163033485,6.599026203155518,0.016933023929595947
grokking,4650,1.0,1.0,0.006417551077902317,6.599552154541016,0.01638077013194561
grokking,4800,1.0,1.0,0.0059450650587677956,6.600024700164795,0.015921447426080704
grokking,4950,1.0,1.0,0.00551527738571167,6.600454330444336,0.015423988923430443
grokking,5100,1.0,1.0,0.00512175215408206,6.6008477210998535,0.015228481963276863
grokking,5250,1.0,1.0,0.004759225528687239,6.601210594177246,0.014971702359616756
grokking,5400,1.0,1.0,0.004425134044140577,6.601544380187988,0.014716783538460732
grokking,5550,1.0,1.0,0.0041167233139276505,6.601852893829346,0.014463499188423157
grokking,5700,1.0,1.0,0.003830911125987768,6.602138519287109,0.014082594774663448
grokking,5850,1.0,1.0,0.0035666325129568577,6.602402687072754,0.013787049800157547
grokking,6000,1.0,1.0,0.0033210208639502525,6.6026482582092285,0.01363243255764246
grokking,6150,1.0,1.0,0.003092415863648057,6.60287618637085,0.013478770852088928
grokking,6300,1.0,1.0,0.0028799704741686583,6.603089332580566,0.013240701518952847
grokking,6450,1.0,1.0,0.002682776190340519,6.603286266326904,0.013043131679296494
grokking,6600,1.0,1.0,0.002499853726476431,6.603469371795654,0.0127635532990098
grokking,6750,1.0,1.0,0.002330206800252199,6.603639125823975,0.01251199934631586
grokking,6900,1.0,1.0,0.002171990694478154,6.603797435760498,0.012235783040523529
grokking,7050,1.0,1.0,0.0020244899205863476,6.603944301605225,0.012064476497471333
grokking,7200,1.0,1.0,0.0018866215832531452,6.604083061218262,0.011855143122375011
grokking,7350,1.0,1.0,0.0017585932509973645,6.60421085357666,0.011631358414888382
grokking,7500,1.0,1.0,0.0016395928105339408,6.604330539703369,0.011401706375181675
grokking,7650,1.0,1.0,0.0015286979032680392,6.604440689086914,0.01118563488125801
grokking,7800,1.0,1.0,0.0014254089910537004,6.604543685913086,0.010983269661664963
grokking,7950,1.0,1.0,0.0013289571506902575,6.604640483856201,0.010844961740076542
grokking,8100,1.0,1.0,0.0012392245698720217,6.604730129241943,0.010652436874806881
grokking,8250,1.0,1.0,0.001155495410785079,6.604813575744629,0.010577254928648472
grokking,8400,1.0,1.0,0.001077622757293284,6.604891300201416,0.01039115246385336
grokking,8550,1.0,1.0,0.0010050454875454307,6.604963779449463,0.010233791545033455
grokking,8700,1.0,1.0,0.0009374901419505477,6.605031967163086,0.01003948226571083
grokking,8850,1.0,1.0,0.0008745469967834651,6.605094909667969,0.00986030139029026
grokking,9000,1.0,1.0,0.0008159260614775121,6.6051530838012695,0.009730660356581211
grokking,9150,1.0,1.0,0.0007614335627295077,6.605207443237305,0.009555971249938011
