samples,probe_temperature,uncertain_preference_rescue_h0,uncertain_preference_rescue_js,uncertain_preference_rescue_gap,uncertain_preference_bridge_h0,uncertain_preference_bridge_js,uncertain_preference_bridge_gap,pure_team_rescue_h0,pure_team_rescue_js,pure_team_rescue_gap,pure_team_bridge_h0,pure_team_bridge_js,pure_team_bridge_gap,rescue_gap_positive,bridge_gap_negative,h0_ordering_holds
12,0.6,1.179585969874276,0.909694289436909,2.9427083333333335,0.7829557779433469,0.5121441617096694,-6.427083333333333,-1.4428232973175177e-12,0.9999999999976107,7.291666666666667,-1.4428232973175177e-12,0.002685866730040472,-2.0416666666666665,1,1,1
12,0.9,1.2410465643478135,0.643403768209108,4.010416666666667,0.906922919664449,0.3840767778727621,-6.427083333333333,0.12931776571799192,0.9999999999974754,8.375,0.07759065943021802,0.038700727363047006,-2.5833333333333335,1,1,1
12,1.2,1.3654250682463474,0.5567813107252766,4.947916666666667,0.9002817209133239,0.2286020007892453,-5.8125,0.4782471158357051,0.9999999999974303,9.416666666666666,0.2871390043463485,0.04952108375803861,-3.0624999999999996,1,1,1
24,0.6,1.2744269761561238,0.8890851190353865,3.1979166666666665,0.820096323885775,0.49075472359114436,-6.3125,0.01561764330054111,0.9999999999972049,7.239583333333333,-1.4428232973175177e-12,0.002644137962852779,-2.0416666666666665,1,1,1
24,0.9,1.4317374475535845,0.6539946224268292,4.026041666666667,0.8979217064640889,0.3524388928219175,-6.416666666666666,0.12477774628759089,0.9999999999971148,8.53125,0.041481196444428055,0.027686294622153152,-2.375,1,1,1
24,1.2,1.3984071402407536,0.5589036408985154,4.973958333333333,1.0540966166834895,0.22932660284417689,-6.026041666666667,0.700339957424963,0.9927450758767196,9.559895833333334,0.3517301639517227,0.06005089200655607,-3.4739583333333335,1,1,1
48,0.6,1.2076576214060155,0.8533228221028774,3.1354166666666665,0.8220123287648963,0.5075651385817852,-6.484375,0.018261781263393898,0.9999999999971598,7.244791666666667,-1.4428232973175177e-12,0.001967955609287449,-2.03125,1,1,1
48,0.9,1.4226490365557536,0.6553763837770032,4.084635416666667,0.9332720382182111,0.3326339871761964,-6.390625,0.25877459021072924,0.9999999999971598,8.614583333333334,0.027392671895812258,0.013647901605531813,-2.2994791666666665,1,1,1
48,1.2,1.4694558594774263,0.558890936596684,5.1171875,1.1343153531583794,0.21960074101112154,-5.901041666666667,0.7271009045926233,0.9888237956447677,9.553385416666666,0.3789306683023964,0.040318156613655565,-3.2083333333333335,1,1,1
96,0.6,1.2646526165598084,0.8542762808580595,3.1569010416666665,0.8368127950755834,0.50415681925254,-6.48046875,0.01044286103716715,0.9999999999971148,7.283854166666667,-1.4428232973175177e-12,0.0029482459500599053,-2.046875,1,1,1
96,0.9,1.4458413006329096,0.6525612976777607,4.126302083333334,0.9569840199044448,0.33706415987217103,-6.305989583333333,0.2649505339188957,0.9978540382592531,8.413411458333334,0.030016612708195486,0.01504974994160112,-2.346354166666667,1,1,1
96,1.2,1.4299364878100893,0.5617713587684785,5.081380208333333,1.146574320667884,0.22318846922307314,-5.9921875,0.6509763538042327,0.9795555432499466,9.525390625,0.3992865523607514,0.0459729033202046,-3.40625,1,1,1
