p_trigger_needed,cash_out,preserve_cost,trigger_payoff,direct_payoff,mismatch_payoff,return_myopic_greedy,return_always_trigger,return_always_direct,return_random_preserve,return_possibility_preserving,winner,option_value,local_optimality_gap,threshold_cash_out,local_optimum_trap
0.05,0.0,3.0,13.0,9.0,0.0,0.0,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,possibility_preserving,6.199999999999999,3.0,6.199999999999999,1.0
0.05,0.0,3.5,13.0,9.0,0.0,0.0,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,possibility_preserving,5.699999999999999,3.5,5.699999999999999,1.0
0.05,0.0,4.0,13.0,9.0,0.0,0.0,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,possibility_preserving,5.199999999999999,4.0,5.199999999999999,1.0
0.05,0.0,4.5,13.0,9.0,0.0,0.0,-3.85,4.049999999999999,0.09999999999999942,4.699999999999999,possibility_preserving,4.699999999999999,4.5,4.699999999999999,1.0
0.05,0.0,5.0,13.0,9.0,0.0,0.0,-4.35,3.549999999999999,-0.40000000000000036,4.199999999999999,possibility_preserving,4.199999999999999,5.0,4.199999999999999,1.0
0.05,0.0,5.5,13.0,9.0,0.0,0.0,-4.85,3.049999999999999,-0.9000000000000004,3.6999999999999993,possibility_preserving,3.6999999999999993,5.5,3.6999999999999993,1.0
0.05,0.0,6.0,13.0,9.0,0.0,0.0,-5.35,2.549999999999999,-1.4000000000000004,3.1999999999999993,possibility_preserving,3.1999999999999993,6.0,3.1999999999999993,1.0
0.05,0.0,6.5,13.0,9.0,0.0,0.0,-5.85,2.049999999999999,-1.9000000000000004,2.6999999999999993,possibility_preserving,2.6999999999999993,6.5,2.6999999999999993,1.0
0.05,0.0,7.0,13.0,9.0,0.0,0.0,-6.35,1.549999999999999,-2.4000000000000004,2.1999999999999993,possibility_preserving,2.1999999999999993,7.0,2.1999999999999993,1.0
0.05,0.0,7.5,13.0,9.0,0.0,0.0,-6.85,1.049999999999999,-2.9000000000000004,1.6999999999999993,possibility_preserving,1.6999999999999993,7.5,1.6999999999999993,1.0
0.05,0.0,8.0,13.0,9.0,0.0,0.0,-7.35,0.5499999999999989,-3.4000000000000004,1.1999999999999993,possibility_preserving,1.1999999999999993,8.0,1.1999999999999993,1.0
0.05,0.5,3.0,13.0,9.0,0.0,0.5,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,possibility_preserving,5.699999999999999,3.5,6.199999999999999,1.0
0.05,0.5,3.5,13.0,9.0,0.0,0.5,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,possibility_preserving,5.199999999999999,4.0,5.699999999999999,1.0
0.05,0.5,4.0,13.0,9.0,0.0,0.5,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,possibility_preserving,4.699999999999999,4.5,5.199999999999999,1.0
0.05,0.5,4.5,13.0,9.0,0.0,0.5,-3.85,4.049999999999999,0.09999999999999942,4.699999999999999,possibility_preserving,4.199999999999999,5.0,4.699999999999999,1.0
0.05,0.5,5.0,13.0,9.0,0.0,0.5,-4.35,3.549999999999999,-0.40000000000000036,4.199999999999999,possibility_preserving,3.6999999999999993,5.5,4.199999999999999,1.0
0.05,0.5,5.5,13.0,9.0,0.0,0.5,-4.85,3.049999999999999,-0.9000000000000004,3.6999999999999993,possibility_preserving,3.1999999999999993,6.0,3.6999999999999993,1.0
0.05,0.5,6.0,13.0,9.0,0.0,0.5,-5.35,2.549999999999999,-1.4000000000000004,3.1999999999999993,possibility_preserving,2.6999999999999993,6.5,3.1999999999999993,1.0
0.05,0.5,6.5,13.0,9.0,0.0,0.5,-5.85,2.049999999999999,-1.9000000000000004,2.6999999999999993,possibility_preserving,2.1999999999999993,7.0,2.6999999999999993,1.0
0.05,0.5,7.0,13.0,9.0,0.0,0.5,-6.35,1.549999999999999,-2.4000000000000004,2.1999999999999993,possibility_preserving,1.6999999999999993,7.5,2.1999999999999993,1.0
0.05,0.5,7.5,13.0,9.0,0.0,0.5,-6.85,1.049999999999999,-2.9000000000000004,1.6999999999999993,possibility_preserving,1.1999999999999993,8.0,1.6999999999999993,1.0
0.05,0.5,8.0,13.0,9.0,0.0,0.5,-7.35,0.5499999999999989,-3.4000000000000004,1.1999999999999993,possibility_preserving,0.6999999999999993,8.5,1.1999999999999993,1.0
0.05,1.0,3.0,13.0,9.0,0.0,1.0,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,possibility_preserving,5.199999999999999,4.0,6.199999999999999,1.0
0.05,1.0,3.5,13.0,9.0,0.0,1.0,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,possibility_preserving,4.699999999999999,4.5,5.699999999999999,1.0
0.05,1.0,4.0,13.0,9.0,0.0,1.0,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,possibility_preserving,4.199999999999999,5.0,5.199999999999999,1.0
0.05,1.0,4.5,13.0,9.0,0.0,1.0,-3.85,4.049999999999999,0.09999999999999942,4.699999999999999,possibility_preserving,3.6999999999999993,5.5,4.699999999999999,1.0
0.05,1.0,5.0,13.0,9.0,0.0,1.0,-4.35,3.549999999999999,-0.40000000000000036,4.199999999999999,possibility_preserving,3.1999999999999993,6.0,4.199999999999999,1.0
0.05,1.0,5.5,13.0,9.0,0.0,1.0,-4.85,3.049999999999999,-0.9000000000000004,3.6999999999999993,possibility_preserving,2.6999999999999993,6.5,3.6999999999999993,1.0
0.05,1.0,6.0,13.0,9.0,0.0,1.0,-5.35,2.549999999999999,-1.4000000000000004,3.1999999999999993,possibility_preserving,2.1999999999999993,7.0,3.1999999999999993,1.0
0.05,1.0,6.5,13.0,9.0,0.0,1.0,-5.85,2.049999999999999,-1.9000000000000004,2.6999999999999993,possibility_preserving,1.6999999999999993,7.5,2.6999999999999993,1.0
0.05,1.0,7.0,13.0,9.0,0.0,1.0,-6.35,1.549999999999999,-2.4000000000000004,2.1999999999999993,possibility_preserving,1.1999999999999993,8.0,2.1999999999999993,1.0
0.05,1.0,7.5,13.0,9.0,0.0,1.0,-6.85,1.049999999999999,-2.9000000000000004,1.6999999999999993,possibility_preserving,0.6999999999999993,8.5,1.6999999999999993,1.0
0.05,1.0,8.0,13.0,9.0,0.0,1.0,-7.35,0.5499999999999989,-3.4000000000000004,1.1999999999999993,possibility_preserving,0.1999999999999993,9.0,1.1999999999999993,1.0
0.05,1.5,3.0,13.0,9.0,0.0,1.5,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,possibility_preserving,4.699999999999999,4.5,6.199999999999999,1.0
0.05,1.5,3.5,13.0,9.0,0.0,1.5,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,possibility_preserving,4.199999999999999,5.0,5.699999999999999,1.0
0.05,1.5,4.0,13.0,9.0,0.0,1.5,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,possibility_preserving,3.6999999999999993,5.5,5.199999999999999,1.0
0.05,1.5,4.5,13.0,9.0,0.0,1.5,-3.85,4.049999999999999,0.09999999999999942,4.699999999999999,possibility_preserving,3.1999999999999993,6.0,4.699999999999999,1.0
0.05,1.5,5.0,13.0,9.0,0.0,1.5,-4.35,3.549999999999999,-0.40000000000000036,4.199999999999999,possibility_preserving,2.6999999999999993,6.5,4.199999999999999,1.0
