p_trigger_needed,cash_out,preserve_cost,trigger_payoff,direct_payoff,mismatch_payoff,capability,expected_return,success_rate,trigger_rate,option_preserved,context_used,over_trigger_rate,is_best_return,full_return_gain_vs_myopic,full_return_gain_vs_no_context,full_success_gain_vs_no_context,performance_closure
0.05,0.5,5.5,13.0,9.0,0.0,no_preserve_action,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,0.5,5.5,13.0,9.0,0.0,preserve_no_context,3.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,0.5,5.5,13.0,9.0,0.0,preserve_always_trigger,-4.85,0.05,1.0,1.0,0.0,0.95,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,0.5,5.5,13.0,9.0,0.0,preserve_always_direct,3.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,0.5,5.5,13.0,9.0,0.0,preserve_context_contingent,3.6999999999999993,1.0,0.05,1.0,1.0,0.0,1.0,3.1999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,0.5,6.0,13.0,9.0,0.0,myopic_cash_out,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,0.5,6.0,13.0,9.0,0.0,no_preserve_action,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,0.5,6.0,13.0,9.0,0.0,preserve_no_context,2.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,0.5,6.0,13.0,9.0,0.0,preserve_always_trigger,-5.35,0.05,1.0,1.0,0.0,0.95,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
0.05,0.5,6.0,13.0,9.0,0.0,preserve_always_direct,2.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,2.6999999999999993,0.6500000000000004,0.050000000000000044,1.0
